Id,Def,IDword,,,
837,5. По стопамъ – передача лат,525,,,
838,6. Гадательный лист (?).,525,,,
839,"1. Кипа каких-л. предметов, припасов, сложенных вместе, один на другой",526,,,
840,"2. Уложенные ровными рядами, один на другой, бревна, доски и др. строительный материал; штабель",526,,,
841,3. В строительстве: деревянный сруб,526,,,
842,"4. Мера писчей бумаги, равная 20 дестям (480 листов)",526,,,
843,"5. Мера кирпича (укладка, клетка в 1000 штук)",526,,,
844,"1. Сосуд, обычно металлический, в виде высокого стакана раструбом; иногда снабжался крышкой, носиком, ручкой",527,,,
845,2. Мера жидкостей (для вина и масла),527,,,
846,1. След ноги,528,,,
847,"2. То же, что стопа&sup&1&sup& (в знач. 5)",528,,,
848,Ступень,529,,,
849,"Тропинка, дорожка; дорога",530,,,
850,"Тропинка, дорожка",531,,,
851,"Растопить, расплавить",532,,,
852,Растапливая соединить вещества,533,,,
853,/i> 1. Ткацкий челнок,534,,,
854,"2. Колышек, деревянный гвоздь",534,,,
855,3. Спица с выступающей лопастью на водяном колесе,534,,,
856,4. Название знака (знамени) древнерусских певческих (столповой и путевой) нотаций,534,,,
857,"То же, что стопа&sup&1&sup& (в знач. 4)",535,,,
858,1. Палочка,536,,,
859,"2. Столб, палка",536,,,
860,1. Уменьш. к стопа&sup&3&sup& (в знач. 1),537,,,
861,2. Мерный сосуд,537,,,
862,"Тропа, дорожка",538,,,
863,Хранящийся в стопах (о соленой рыбе),539,,,
864,Вм. встопотати. Затопать,540,,,
865,Уменьш. к стопка&sup&1&sup& (в знач. 1),541,,,
866,"1. То же, что стопка&sup&2&sup& (в знач. 1)",542,,,
867,2. Уменьш. к стопка&sup&2&sup& (в знач. 2),542,,,
868,"1. Топча, повредить",543,,,
869,2. Конным натиском оттеснить (неприятеля),543,,,
870,"1. Сорвать, сдернуть. (1169)",544,,,
871,2. Сбросить,544,,,
872,1. Заключить торговую сделку,545,,,
873,2. Договориться о покупке или продаже чего-л.,545,,,
874,Сотня,546,,,
875,"Умножаться во сто крат, сторицею",547,,,
876,Стократный,548,,,
877,"То же, что сторичный",549,,,
878,Шторм,550,,,
879,"1. Сторож, лицо, охраняющее что-л. (1299)",552,,,
880,"2. Страж, стражник; тж. образно и перен",552,,,
881,3. Воин передового дозорного отряда. (968),552,,,
882,1. Действие по глаг. стеречи,553,,,
883,"2. Оплот, защита",553,,,
884,"3. Небольшой передовой отряд войска, передовой пост. (1096)",553,,,
885,"4. Люди, несущие охрану кого",553,,,
886,"5. Сторожевой пункт, пост на пограничных землях и воинский отряд, несущий там караульную и дозорную службу",553,,,
887,6. Караульня (?),553,,,
888,/i>1. Относящийся к сторожу,554,,,
889,2. Принадлежащий сторожу,554,,,
890,Сторожевой, несущий караульную службу,555,,
891,"Место, где был сторожевой пост",556,,,
892,Пошлина за охрану товара,557,,,
893,1. Несущий сторожевую службу. (1368),558,,,
894,2. Относящийся к сторожевой службе. (1407),558,,,
895,3. Отчисляемый в качестве платы за работу сторожа,558,,,
896,b>. Относящийся к сторожам,559,,,
897,Пошлина за охрану товаров,560,,,
898,Сторожевой пост,561,,,
899,"1. То же, что сторожъ (в знач. 1)",562,,,
900,2. Ружейная,562,,,
901,3. Стрелка весов,562,,,
902,"Военный чин русской армии, преимущественно в наемных войсках; соответствовал чину майора в войсках других государств",563,,,
903,Относящийся к сторожам. ,564,,,
904,"Караульная избушка, сторожка",565,,,
905,"Осторожно, бдительно",566,,,
906,"Чуткость, бдительность",567,,,
907,"Бдительный, чуткий",568,,,
908,"Сторожняя (-ая) изба, сторожнее мѣсто – то же, что сторожня (в знач. 1)",569,,,
909,Бдительно,570,,,
910,"1. Место, где помещается сторож, охрана; караульня; сторожка. (1444)",571,,,
911,2. Охрана,571,,,
912,"1. Пространство, расположенное в определенном направлении от чего-л., а также само это направление. (1283)",572,,,
913,2. Одна из боковых поверхностей предмета,572,,,
914,"3. Местность, край, область; государство",572,,,
915,"4. Пространство, место, расположенное в некотором отдалении от кого",572,,,
916,"5. Чужие, посторонние люди, не свои",572,,,
917,"6. Человек или группа людей, противопоставляемые в каком-л. отношении другому человеку или группе людей",572,,,
918,"7. Клирос, один из двух хоров в церкви",572,,,
919,"8. Стороною, сторонами, в знач. нареч. а)",572,,,
920,едлог с род. пад. Сбоку от чего-л,573,,,
921,Бок, край,575,,
922,1. Боковой. (1358),577,,,
923,"2. Не главный, окольный (о дороге)",577,,,
924,"3. Не принадлежащий к своим, посторонний; другой",577,,,
925,"4. Принадлежащий другим, являющийся собственностью других, чужой",577,,,
926,"5. Причиняемый посторонними, чужими",577,,,
927,"6. Не имеющий отношения к основному, побочный",577,,,
928,"1. Чужестранец, пришелец",578,,,
929,"2. Тот, кто поддерживает, защищает кого-л. (?)",578,,,
930,3. Клирошанин.,578,,,
931,"4. Странник, калека, живущий на подаяние и находящийся под покровительством церкви",578,,,
932,"5. Книга о хождении к Святым местам, «Паломник».",578,,,
933,"Посторонний, чужой и поэтому незаинтересованный",579,,,
934,е и предлог,580,,,
935,II. Предлог с род. пад. Сбоку от чего-л,580,,,
936,"Род холодного поясного оружия (кинжал, рапира и т. п.)",581,,,
937,"Название одной из книг, представляющей подборку из ста сентенций, в которых трактуются основные положения христианского вероучения и христианской морали (о Стословце архиепископа Константинопольского Геннадия)",582,,,
938,"Развернуться, начаться (ср. польск. ",585,,,
939,Приравнивать,586,,,
940,Сравнение,587,,,
941,1. Приравнивать,588,,,
942,2. Сравнить,588,,,
943,"Равный, подобный",589,,,
944,(?),590,,,
945,"кому-л., безл. Станет тяжело, тоскливо",591,,,
946,"/i>1. Постоялец; тот, кто определен на постой к кому-л. ",592,,,
947,"2. Тот, кто содержит постоялый двор",592,,,
948,Подставка (?),593,,,
949,"1. Место, местонахождение",594,,,
950,2. Стойло,594,,,
951,"То ж, что стойка (в знач. 4)",595,,,
952,"1. Подножие, основание",596,,,
953,2. Ступень,596,,,
954,3. Стойло, конюшня,596,,
955,"4. Весы (стоячие, не подвесные)",596,,,
956,"5. Место, где водятся крупные дикие животные",596,,,
957,"1. Предназначенный для стояния, нахождения где-л.",597,,,
958,"2. Предназначенный для временного пребывания, жилья",597,,,
959,3. Несвежий,597,,,
960,4. Старый,597,,,
961,"5. О хлебе. Стоящий в одоньяхъ, скирдах или несжатый",597,,,
962,6. Лежалый,597,,,
963,7. Давно не употреблявшийся для работы и езды (о лошадях),597,,,
964,Временно проживающий где-л,598,,,
965,"Остановка, простой в каком-л. деле",599,,,
966,Предназначенный для временного пребывания.,600,,,
967,Принадлежащий хозяину постоялого двора (см. постоялый,601,,,
968,"1. Постоялец; тот, кто определен на постой к кому-л",602,,,
969,"2. Тот, кто стоит за кого-л",602,,,
970,Относящийся к постояльцам,603,,,
971,Подставка,604,,,
972," Опора, подставка",605,,,
973,"1. Стояние, пребывание в вертикальном положении.",606,,,
974,"2. Стояние на молитве; молитвенное бдение, служба",606,,,
975,3. Остановка, невозможность движения,606,,
976,4. Положение, состояние,606,,
977,"5. Пребывание, нахождение где-л",606,,,
978,"6. Временное проживание, постой",606,,,
979,"7. Осада, стояние войск вокруг города. (1204)",606,,,
980,8. Праздное нахождение где-л.,606,,,
981,"9. Заступничество, защита. (1390)",606,,,
982,"10. Приверженность кому-л., поддержка кого-л. ",606,,,
983,11. Стойкость в отстаивании чего-л.,606,,,
984,12. Устойчивое состояние, состояние покоя,606,,
985,"13. Служебное положение; достоинство, сан",606,,,
986,14. Основание, опора, тж. перен.,606,
987,15. Сопротивление, противостояние,606,,
988,16. Предстояние перед судом,606,,,
989,"17. Столб, башня. (1409)",606,,,
990,/i>1. Действие по глаг. стояти (в знач. 5),607,,,
991,"2. Место временной остановки, лагерь, стоянка",607,,,
992,"То же, что стойка (в знач. 4)",608,,,
993,"Веревка в 20–30 саженей, к которой на поводке привешиваются крючки на треску и палтуса",609,,,
994,Столб света,610,,,
995,Неподвижный,611,,,
996,"1. Заступник, защитник, поборник",614,,,
997,"2. Тот, кто проявляет твердость, стойкость",614,,,
998,"3. Охранник, телохранитель",614,,,
999,"Устойчиво, стабильно.",615,,,
1000,"1. Стойкий, непоколебимый",616,,,
1001,"2. Постоянный, стабильный",616,,,
1002,3. Являющийся защитником,616,,,
1003,"4. В знач.сущ. Стоятельные,",616,,,
1004,1. Находиться в вертикальном положении.,617,,,
1005,"2. Стоять, находиться на ногах; тж. образно",617,,,
1006,"3. Оставаться неподвижным, не двигаться",617,,,
1007,"4. Бездействовать, медлить, мешкать. (1144)",617,,,
1008,"5. Находиться, располагаться, быть где-л",617,,,
1009,"6. Останавливаться, жить, находиться где-л. временно, быть на постое",617,,,
1010,"7. Осаждать, стоять в осаде. (1404)",617,,,
1011,8. Держаться на каком-л. уровне,617,,,
1012,"9. Быть, существовать, сохраняться",617,,,
1013,10. Продолжаться какое-то время. (1143),617,,,
1014,11. Состоять при каком-л. деле, выполнять какие-л. обязанности,617,,
1015,"12. Над кем. Главенствовать, начальствовать",617,,,
1016,"13. Пребывать в каком-л. положении, состоянии",617,,,
1017,"14. Быть стойким, твердым, держаться (не отступая)",617,,,
1018,15. На кого. Противостоять кому-л,617,,,
1019,"16. За кого, кем, что; по чем. Защищать, заступаться",617,,,
1020,"17. Быть верным, следовать чему-л",617,,,
1021,"18. Значиться, числиться, иметься где-л",617,,,
1022,"19. Не вскрыться, быть покрытым льдом (о реке). ",617,,,
1023,"20. Стоить, иметь цену. (1137)",617,,,
1024,"21. За что, с отриц. Не держаться за что-л.; не жалеть чего-л. для кого",617,,,
1025,"22.За кем, чем. Задерживаться, не продвигаться вперед из-за кого-л",617,,,
1026,23. О чем. Предъявлять претензии (по поводу чего-л.). ,617,,,
1027,24. Настаиваться,617,,,
1028,à Око стоя – немедленно,617,,,
1029,1. Стоять где-л,618,,,
1030,"2. Быть, существовать",618,,,
1031,"3. Стоять, бороться (за кого",618,,,
1032,"4. В чем. Следовать чему-л., держаться чего-л.",618,,,
1033,"То же, что стойка (в знач. 4)",619,,,
1034,(?),620,,,
1035,1. В полный рост. ,621,,,
1036,"2. В знач. сущ. Стоячие, мн. Караульные, часовые; низшие служители с полицейскими функциями (ср. польск. stojący)",621,,,
1037,3. Расположенный вертикально,621,,,
1038,"4. О деревьях, лесе. Стоящий, живой, на корню, в отличие от срубленного или поваленного",621,,,
1039,"5. О хлебе. Стоящий в одоньях, скирдах или растущий в поле, на корню, несжатый",621,,,
1040,"6. Непроточный, стоячий (о воде). ",621,,,
1041,/i>1. В полный рост (об изображении на иконах). ,622,,,
1042,"2. В знач. сущ. Стоящие, мн. Караульные, часовые. ",622,,,
1043,/i>Не дати на страву – не дать в обиду. ,623,,,
1044,"Замышлять, подготавливать (вм. състравати?)",624,,,
1045,/i>Камка стравинская – (?),625,,,
1046,Пищеварительный,626,,,
1047,"1. Повредить, потравить (травы, посевы) пастьбой животных.",627,,,
1048,"2. Израсходовать, потратить на корм животным",627,,,
1049,"3. Кому. Предоставлять (кому-л.) в пищу, в добычу.",627,,,
1050,4. Вытравить специальными растворами узор на металле,627,,,
1051,Испортиться,628,,,
1052,"Начать перестрелку, завязать бой",629,,,
1053,Боевая стычка. (1530),630,,,
1054,(ср. польск. strawienie). 1.,631,,,
1055,2. Переваривание (пищи),631,,,
1056,3. Истребление,631,,,
1057,"Стравливать, побуждать к драке",632,,,
1058,Переваривать,633,,,
1059,Пищеварение (ср. польск. strawność),634,,,
1060,1. Быстро переваривающий пищу (ср. польск. strawny),635,,,
1061,2. Способствующий пищеварению.,635,,,
1062,"Солдат, вызывающий неприятеля на стычку.",636,,,
1063,Игральные кости (ср. греч. ἀστράγαλοι),637,,,
1064,"1. Труд, тяжелая работа",638,,,
1065,"2. Тяготы, страдание",638,,,
1066,Бедствовать,639,,,
1067,"1. Страдалец, мученик за веру",640,,,
1068,"2. Подвижник, радетель. (1126)",640,,,
1069,"3. Борец, атлет",640,,,
1070,Мученица,641,,,
1071,"Работник, нанимаемый на время страды (покоса, жатвы)",642,,,
1072,1. Работник,643,,,
1073,"2. Страдалец, мученик",643,,,
1074,Мученически,644,,,
1075,"1. Испытывающий страдания, мучения",645,,,
1076,2. Несущий страдание,645,,,
1077,3. Страдательный (грамматический термин),645,,,
1078,"Страдальчески, как мученик",646,,,
1079,1. Посредством мученического подвига,647,,,
1080,"2. В результате или посредством борьбы, подвига",647,,,
1081,/i>1. Мученический,648,,,
1082,2. Мучительный. (1536),648,,,
1083,"Борьба, состязание; подвижничество",649,,,
1084,"Бороться, состязаться; быть подвижником",650,,,
1085,"1. Труд, работа",651,,,
1086,"2. Предмет радения, заботы. (1471)",651,,,
1087,"3. Страдание, мучение",651,,,
1088,"4. Болезнь, болезненное состояние",651,,,
1089,5. Срам,651,,,
1090,"1. Тот, кто страдает, испытывает мучения",652,,,
1091,2. Радетель,652,,,
1092,"Перенося мучения, тяготы",653,,,
1093,"1. Испытавший мучения, страдания",654,,,
1094,"2. Грамматический термин: пассив, страдательный (залог)",654,,,
1095,"1. Работать, делать; выполнять тяжелую работу",655,,,
1096,"2. Обрабатывать, пахать (землю).",655,,,
1097,"3. Стараться, работать на благо кого-, чего-л., заботиться, радеть о ком-, чем-л.",655,,,
1098,"4. Испытывать страдания, мучиться",655,,,
1099,"5. Чем, что и без доп. Страдать (от болезни)",655,,,
1100,"6. Бедствовать, терпеть бедствия",655,,,
1101,"7. Разрабатывать, добывать (полезные ископаемые)",655,,,
1102,8. Выполнять пассивную роль (при гомосексуальных отношениях),655,,,
1103,"9. Иметь грамматическое значение страдательности, неактивности, состояния",655,,,
1104,прил. 1. Относящийся к страде (летним сельскохозяйственным работам),656,,,
1105,2. Нанимаемый на время страды,656,,,
1106,"1. Холоп, занятый на тяжелых сельскохозяйственных работах",657,,,
1107,2. Подвижник,657,,,
1108,Женск. к страдникъ (в знач. 1),658,,,
1109,Относящийся к страдникам холопский,659,,,
1110,"Подвиги, достижения (зд. ирон.).",660,,,
1111,"Относящийся к холопу, холопский; тж. самоуничиж",661,,,
1112,"То же, что страдничество",662,,,
1113,1. Занятый (используемый) на тяжелых сельскохозяйственных работах,663,,,
1114,2. Относящийся к страде (летним сельскохозяйственным работам),663,,,
1115,"3. Требующий больших усилий, тяжелый",663,,,
1116,4. Обрабатываемый,663,,,
1117,5. Предназначенный для работы (не боевой) (?),663,,,
1118,"6. Слабый, жалкий",663,,,
1119,7. В знач. сущ. Страдающий.,663,,,
1120,Претерпевать (страдания),664,,,
1121,"Крестьянин, занятый на определенных работах при монастыре",665,,,
1122,"Тот, кто определяет страдание (о Христе)",666,,,
1123,1. Трудолюбивый человек,667,,,
1124,"2. Любящий тех, кто трудится",667,,,
1125,Трудолюбие,668,,,
1126,Трудолюбивый,669,,,
1127,1. Предназначенный для пахоты.,670,,,
1128,2. Относящийся к страде (летним сельскохозяйственным работам),670,,,
1129,"Страдалица, мученица",671,,,
1130,"1. Мучение; страдание, болезнь",672,,,
1131,"2. Подвижничество, подвиг",672,,,
1132,"1. Тот, кто стережет, охраняет; хранитель, сторож; тж. перен. ",673,,,
1133,2. Стражник,673,,,
1134,1. Охрана, действие по глаг. стеречи. (1263),674,,
1135,"2. Вооруженная стража; стражники, несущие караул. (1204)",674,,,
1136,3. Ночной промежуток времени: в ветхозаветной традиции – три стражи – первая (или начальная) от 6 до 10 час. вечера, вторая (средняя) от 10 до 2, трeтья (утренняя) от 2 до 6 час. утра, в новозаветной – четыре стражи,674
1137,"4. Забота, охранение",674,,,
1138,5. Соблюдение,674,,,
1139,"1. Охрана, защита. (1389)",675,,,
1140,"2. Охрана, караульная служба",675,,,
1141,"3. Забота, попечение, оберегание",675,,,
1142,"4. Стража, сторожевой пост",675,,,
1143,5. Сооружение в поле для хранения урожая,675,,,
1144,6. Сторожевая башня, наблюдательный пункт,675,,
1145,"7. Место, являющееся предметом особой заботы (здесь – храм)",675,,,
1146,8. Предостережение (?),675,,,
1147,"Страж, хранитель",676,,,
1148,"Защита, охрана",677,,,
1149,"Охрана, защита",678,,,
1150,"Стражьбьныи домъ – темница, тюрьма, узилище (зд. образно – о состоянии человечества до пришествия Христа)",679,,,
1151,"Относящийся к стражу, охраннику",680,,,
1152,Начальник стражи,681,,,
1153,"Сторожить, охранять",684,,,
1154,1. Оборонительное укрепление, сторожевая башня, тж. перен,685,
1155,"2. Заключение, содержание под стражей",685,,,
1156,3. Сооружение в поле для хранения урожая,685,,,
1157,"Сторожевой, оборонительный",686,,,
1158,"Стражник, сторож",687,,,
1159,Сторожевая башня, маяк,688,,
1160,Охрана,690,,,
1161,Многокр. к строити (в знач. 6),691,,,
1162,Музыкальный инструмент,693,,,
1163,Игрушечный музыкальный инструмент (?),694,,,
1164,"1. Пространство, расположенное в определенном направлении от центра или иной точки отсчета, а также само это направление",696,,,
1165,"2. Одна из боковых поверхностей предмета; бок, край",696,,,
1166,"3. Местность, край, область, государство; тж. образно",696,,,
1167,"4. Поле, пашня",696,,,
1168,5. Перен. Область деятельности,696,,,
1169,"6. Народ, население какой-л. области, территории, страны",696,,,
1170,"7. Не своя, чужая область, территория, страна; чужбина",696,,,
1171,"8. Человек или группа людей, противопоставляемые в каком-л. отношении другому человеку или группе людей",696,,,
1172,"9. Земля, суша",696,,,
1173,10. Страница. (1471),696,,,
1174,11. Передача греч,696,,,
1175,12. Передача греч,696,,,
1176,à Отложити въ страну что-л. – перестать делать что-л,696,,,
1177,"То же, что странгурия",697,,,
1178,"Медицинский термин, обозначающий задeржку мочи (ср. лат. stranguria)",698,,,
1179,Сторониться,699,,,
1180,Страница,700,,,
1181,"Подобно страннику, не имеющему дома. (1481)",701,,,
1182,"1. Странник, паломник",702,,,
1183,2. Скиталец, бездомный человек,702,,
1184,"3. Иноземец, чужестранец",702,,,
1185,"4. Название книг, описывающих путешествия к Святым местам, паломничества",702,,,
1186,5. Передача греч.,702,,,
1187,"1. Cкиталица, бездомная.",703,,,
1188,2. Странноприимный дом для бездомных или странников,703,,,
1189,"Как странник, как чужой",704,,,
1190,"Чуждый, отстраненный",705,,,
1191,Скитальчество,706,,,
1192,Вести образ жизни странника.,707,,,
1193,"/i>1. Окольными, обходными путями",708,,,
1194,"2. Неизъяснимо, чудесно",708,,,
1195,Странствовать, быть в пути,709,,
1196,"Главный среди странников, паломников; руководящий паломниками",710,,,
1197,/i>Перен. Путеводительница,711,,,
1198,"То же, что страннолѣпно",712,,,
1199,"Непостижимо, чудесно, необыкновенно",713,,,
1200,"Удивительный, необыкновенный",714,,,
1201,"Чудесный, необыкновенный",715,,,
1202,"Тот, кто любит принимать странников, гостеприимный хозяин",716,,,
1203,Любящий принимать странников, гостеприимный,717,,
1204,"Готовность принимать странников, гостеприимство",718,,,
1205,Любящая принимать странников, отличающаяся гостеприимством. (1206),719,,
1206,"С готовностью, любовью принимать странников; гостеприимно",720,,,
1207,/i>1. Любящий принимать странников, гостеприимный.,721,,
1208,"2. Свидетельствующий о любви, милосердии к странникам",721,,,
1209,"То же, что страннолюбие.",722,,,
1210,"То же, что страннолюбие.",723,,,
1211,Подобно страннику,725,,,
1212,Украшенный чужими перьями,726,,,
1213,"Кладбище для странников, чужеземцев",727,,,
1214,Принимающий странников,728,,,
1215,"Относящийся к гостинице, ведущий к гостинице (о пути)",729,,,
1216,"/i>1. Тот, кто принимает странников",730,,,
1217,2. Заведующий приемом странников,730,,,
1218,"1. Тот, кто принимает странников",731,,,
1219,2. Заведующий приемом странников,731,,,
1220,Странноприимный дом,732,,,
1221,/i>1. Предоставление приюта странникам,733,,,
1222,"2. Странноприимный дом, гостиница",733,,,
1223,"Предоставлять приют странникам, принимать как гостей",734,,,
1224,Предоставление приюта странникам),735,,,
1225,Предоставить приют (странникам),736,,,
1226,"1. Готовность принять, приютить странников",737,,,
1227,2. Странноприимный дом,737,,,
1228,"Странник, паломник",738,,,
1229,Причудливое повествование,739,,,
1230,"Слышать чудесные, необыкновенные речи",740,,,
1231,"Необычность, странность",741,,,
1232,"Паломничество, шествие странников",742,,,
1233,"Необычный, чудесный",743,,,
1234,"1. Боковой, не главный",744,,,
1235,"2. Посторонний, чужой, не свой",744,,,
1236,"3. Относящийся к чужому, не своему народу; чужеземный",744,,,
1237,"4. Необычный, странный",744,,,
1238,5. Отлученный от кого- чего-л,744,,,
1239,"6. Несвойственный, чуждый (кому-л.)",744,,,
1240,"7. Удивительный, чудный, неизъяснимый",744,,,
1241,8. Далекий от чего-л,744,,,
1242,"9. Странствующий, скитающийся, находящийся на чужбине; бездомный",744,,,
1243,10. Относящийся к страннику,744,,,
1244,"11. Отвратительный, неприятный",744,,,
1245,"◊ Странный человѣкъ – постороннее лицо, привлекаемое в качестве свидетеля",744,,,
1246,"1. Относящийся к другой стране, государству",746,,,
1247,"2. Относящийся к людям, народам",746,,,
1248,"3. Чужеземный, иноплеменный, принадлежащий чужим народам; языческий",746,,,
1249,"1. Странствование, скитание",747,,,
1250,2. Гостеприимство,747,,,
1251,"Давать приют, принимать в качестве гостя",748,,,
1252,"1. Странствование, скитание; паломничество",749,,,
1253,"2. Пребывание на чужбине, за пределами своего отечества",749,,,
1254,3. Нищенство,749,,,
1255,"4. Удивительные, необыкновенные качества",749,,,
1256,1. Странствовать, паломничать, тж. образно,750,
1257,"2. Путешествовать, пребывать в чужой стране, за пределами своего отечества",750,,,
1258,3. Нищенствовать ради Христа,750,,,
1259,"4. Вести себя необычно, ненормально",750,,,
1260,5. Принимать как гостя,750,,,
1261,предлог,752,,,
1262,"II. Предлог с род. пад. Поодаль, в стороне от чего-л",752,,,
1263,"Шататься, качаться из стороны в сторону",753,,,
1264,1. Несчастный,754,,,
1265,"2. Бедственный, несущий страдания",754,,,
1266,"Устрашать, грозить",755,,,
1267,Сострадательный,756,,,
1268,1. Находясь под влиянием плотских страстей,757,,,
1269,"2. Страстно, с сильным чувством, в волнении",757,,,
1270,3. Со страхом,757,,,
1271,"1. Несчастный, жалкий человек",758,,,
1272,"2. Страдалец, мученик, подвижник",758,,,
1273,3. Грешник,758,,,
1274,4. Передача греч.,758,,,
1275,5. Вм. сострастникъ ,758,,,
1276,Грешница,759,,,
1277,Подвижнический,760,,,
1278,Относящийся к страстнику,761,,,
1279,"Мученически, страдальчески",762,,,
1280,1. Подверженный страстям.,763,,,
1281,2. Относящийся к плотским страстям,763,,,
1282,"3. Несчастный, жaлкий",763,,,
1283,4. Терпящий страдания, страдающий,763,,
1284,"5. Связанный с мучением, страданием",763,,,
1285,6. Связанный с религиозным подвижничеством.,763,,,
1286,7. Страшный. (1380),763,,,
1287,"à Страстная Богородица – название иконы Пресвятой Богородицы, на которой изображены в верхних углах орудия страстей Иисуса Христа",763,,,
1288,Мученичество,764,,,
1289,"1. Страдать, терпеть муки",765,,,
1290,2. Вм. състрастовати,765,,,
1291,Передача греч. ,766,,,
1292,"То же, что страдодавецъ",767,,,
1293,Изнеженный.,768,,,
1294,Почитатель мучеников,769,,,
1295,"Приверженность к наслаждениям, роскоши",770,,,
1296,"/i>Страстолюбное, в знач. сущ., с. Удовольствие от греха",771,,,
1297,"То же, что страстоносецъ",772,,,
1298,"Мученик, страдалец",773,,,
1299,"Претерпевший мучения, страдания, болезни",774,,,
1300,"Тот, кто определяет страдания во имя веры (об Иисусе Христе).",775,,,
1301,"1. То же, что страстоположитель",776,,,
1302,"2. Тот, кто первым принял страдание во имя веры; первомученик. ",776,,,
1303,"Мученик; тот, кто пострадал во имя веры",777,,,
1304,"1. Мученик; тот, кто пострадал во имя веры. ",778,,,
1305,2. Передача греч. ,778,,,
1306,"Мучение; претерпевание страданий, мучений",779,,,
1307,Страдалец,780,,,
1308,Страдалица,781,,,
1309,Мученический,782,,,
1310,2. Передача греч. ,782,,,
1311,"Относящийся к страстотерпцу, мученику",783,,,
1312,Относящийся к страстотерпцу,784,,,
1313,Вм. сторичествующий,785,,,
1314,Уничтожающий греховные страсти,786,,,
1315,"То же, что страстоубийственый",787,,,
1316,"То же, что страстоубийственый",788,,,
1317,"1. Страдание, мучение",789,,,
1318,"2. Бедствие, несчастье; испытание",789,,,
1319,"3. Болезнь, страдания; тж. образно и перен",789,,,
1320,"4. Сильное, не управляемое разумом чувство. ",789,,,
1321,"5. Склонность, пристрастие",789,,,
1322,"6. Страх, испуг. (1451)",789,,,
1323,7. О знаках препинания: запятой (новогреч. ὑποδιαστολή),789,,,
1324,"8. В знач. нареч. Очень, чрезвычайно",789,,,
1325,Страдание,790,,,
1326,"1. Военачальник, воевода, вождь ",791,,,
1327,"2. Начальник, высокое должностное лицо",791,,,
1328,"Военачальник, воевода (ср. греч. στρατηλάτης)",792,,,
1329,"Относящийся к стратилату, военачальнику",793,,,
1330,Сан стратилата,794,,,
1331,"Быть военачальником, воеводой",795,,,
1332,Воин (ср. греч. στρατιώτης),796,,,
1333,"Потерять, утратить; тж. перен. (ср. польск. stracić)",797,,,
1334,"Потеряться, утратиться ",798,,,
1335,Страусовый,799,,,
1336,Сорт краски (?),800,,,
1337,Сорт сукна,801,,,
1338,Название крюкового знака,802,,,
1339,"/i>1. Страх, боязнь",803,,,
1340,2. Угроза,803,,,
1341,"3. Предмет, явление, вызывающее чувство страха",803,,,
1342,4. Благоговение,803,,,
1343,5. Страховка,803,,,
1344,"6. В сост. cказ. Страшно, боязно",803,,,
1345,7. В сост. cказ. О наличии опасности (чего-л.),803,,,
1346,"1. Боязливый, пугливый",804,,,
1347,2. Вызывающий страх (?),804,,,
1348,"1. Чувство страха, боязни",805,,,
1349,"2. Устрашение, угроза",805,,,
1350,"3. Некто или нечто, способное внушить страх, ужас",805,,,
1351,"4. Болезненное состояние, вызванное испугом; психическое заболевание, выражающееся в навязчивом состоянии страха",805,,,
1352,6. Опасность,805,,,
1353,Сопряженный с опасностью,806,,,
1354,"1. Испытывать чувство страха, бояться",807,,,
1355,"2. Испытывать беспокойство, волнение; тревожиться",807,,,
1356,Страшно,808,,,
1357,Со страхом.,809,,,
1358,1. Вызывающий опасения,810,,,
1359,"2. Страховито, безл.предик. Страшно",810,,,
1360,3. Страшный, пугающий своим видом,810,,
1361,Вызывающий чувство страха, несущий страх,811,,
1362,Осторожно,812,,,
1363,Угрожать, устрашать.,813,,
1364,"Испытывать чувство страха, бояться, тревожиться, беспокоиться",814,,,
1365,1. Устрашение,815,,,
1366,"2. Страх, боязнь.",815,,,
1367,3. Устрашающее явление. (1433),815,,,
1368,4. Возглас на литургии,815,,,
1369,"Боязливость, трусость",816,,,
1370,"1. Боязливый, трусливый, робкий",817,,,
1371,2. Внушающий страх,817,,,
1372,"Нечто наводящее страх, ужас",818,,,
1373,"Устрашающий, наводящий ужас",819,,,
1374,"Тот, кто (или то, что) вызывает страх, ужас; нечто безобразное, ужасное, пугало",820,,,
1375,Боязнь,821,,,
1376,"Наводящий страх, ужас",822,,,
1377,"1. Устрашать, пугать",823,,,
1378,"2. Испытывать страх, бояться",823,,,
1379,3. Возглашать на литургии,823,,,
1380,"1. Бояться, испытывать страх перед кем",824,,,
1381,"2. Испытывать болезненный страх, беспокойство (о психическом расстройстве)",824,,,
1382,Трусливый, робкий. (1039),825,,
1383,Боязнь,826,,,
1384,"Трусость, боязливость",827,,,
1385,Трусливый, боязливый,828,,
1386,◊ Страшливая фита – в древнерусской певческой нотации,828,,,
1387,Страшно,829,,,
1388,"То же, что страшливый",830,,,
1389,"1. Грозно, наводя страх",831,,,
1390,"2. Чрезвычайно, очень",831,,,
1391,"3. Панически, в страхе. (970)",831,,,
1392,"4. Чудесно, непостижимо",831,,,
1393,5. С благоговейным страхом,831,,,
1394,"Внушающий страх своим щитом, имеющий страшный щит",832,,,
1395,"1. Внушающий страх; ужасный, грозный",833,,,
1396,2. Опасный. (912),833,,,
1397,3. Очень сильный по степени проявления чего-л,833,,,
1398,"4. Внушающий благоговение, благоговейный страх",833,,,
